id,fecha,cantidad,tipotrans,cuentaorigen,cuentadestino,dateCreated,lastUpdated
162169,2023-07-03,745443.3609260003,X,tV3MlGWjcSTz157LlobjMyuWmUK3Ip3T3W8U7nCRHppmMyJ9Xcd9trsTDvFNSDKEewBk1tEGvCDjzfWretwXhrJCLpKCGAB5wWBVJtfmhjE2Xa0iySIYUtwG0F5hxI6ziUGfQJedkm7y,qeaBQT0WW8lUtSYY0CvIwU8ceeHK2zMzaCboCw08H2WY5bQBv9bBmNaszjQRDKNC6leSdanqMFq486Ey0qmiMB39ix1Cr5yr2a369bBhOX2zjd6GN802Q9RB60xHQTfIk3uwUtzyshAo6CHaUCvelMAcjobfC7ly5KblkmFGqIM6SscLqKDdlS1aOSRJWqeH3AMzyXGa7CdFmTULhlBM2SoArD,2023-04-04 04:42:50.830014,2022-01-05 07:53:01.317633
696060,2021-04-03,784721.98459242,5Lf,uuwzL8c53evL9uOMS2Z9Lsi4pWBcxg5J4ouYYINpwzY2olgEITlprsxqOZGuOcsFfacUJoYyfCZKzVw6nEu8oSxaP0XvJk2acB5F2xXkQIxUAYP1CXRQIy4ogYYcoFDkZ7Ndo18XzMHLsF7nHBerlXRXXfiuLZBuHBpJhtv7moY3hwPuyeSptUBxlRO,vgCLPBj0OpeEKAQH0ojjvXJ8Lorr8hC9JVuGsr3RlXCoUdQnhNh6CFpmPWEFlEF4XHILjEtKTjizgA36dRcW1mvdMQ07zE7PqVThn4lRucA04Z4ZucOW2pHF0qoFP4LP5pjQQAVB8fSII4JlufSkKnXTvoUhxsTJQLV9T0eAsisMmtuLYQCfbkgpsvvC4LkIqmq60DDHNsSgWm4Dgq6H8HC6cdOJ6ZtRU9TXN3viGCjV,2020-10-22 07:34:21.314870,2023-04-11 13:16:36.970911
18571,2022-05-03,395704.6276561413,rOjIwVYf7V,lXqxVxFZAq5i6nAdrg3tTB0r5a8ymHXvjJawXSsYbIhLi3bEdGY5AQknx7USzlx8cVuvFYVJ8mN2vMqObK1DUysicAMz0MtgdsxtkOr4u8TSGPYAgb1,NTwtJcUNwFC5CTa916LhDYhZPWYMEXi,2020-10-04 05:08:11.881487,2023-11-27 05:40:39.362343
878286,2023-04-22,795678.9769362559,Lli2H4ENd,9VKNc1wQUhGXjCWbLrAFO6oYS9iPViYLekui8L5CPyr5gZkoHQRgCRioWG2Rgmpxo0m769gvABsglwx4oemvHoDI2WxwIyuFn45MdtZRUoX4tkXCRrpluBkbYlcPcRMVCD58lHISMoTC1zFoOdYJorPj5iefGjJsvdFNbmu0T74y4BKoYp0hb7hXxW4YFybnd,6DNwyDJe8tZj0ZKTBtSYPpZwm7o2MvHKUM8zQN82zhApQHI94u39AYIroN35dDOB2IBTii8WUFmf2IFRZGpheGFzzvxhdyZ4cH81nxXrwjdS9pLBzzmd1PhnnZqzWo8Sj9zgCTQFa12h1TRKqaXkLbkfvvS7llxEgwMhpBc6Ohvi34OwieJLI,2019-06-12 08:13:41.016249,2022-02-26 10:34:12.284067
637943,2021-03-29,934890.2903472512,tnFw,6qDsdDbycCCQRP6wQHjF3G2C2TSlR66mdoScy5Iw9jafQj9jBuIqdumNJzFFMeFcpGYPujqQjjhCb1znqViu1gcfy7h7AfXVOtQPPdkxW8EGkUGPyeWoG6lXBmbZdlkS7LtnjeUYxAjt6f5VGdyGtRwSDcGAvI1B8A35W8uk5ruAPGiY84Qf0T53bBM44fnj5S,cbtkq8glUOEE0faXxuR6k,2020-11-29 13:59:59.447940,2022-05-25 20:32:09.722272
798903,2021-04-23,491218.7089131107,vM63K,NZqPeKDnZEOVTeFVfFUN2CuJFgLO0ZK9VnuGHueHvpwxPUy8veCMGzWv7Kh7eWoK8bZvWRUMSb7CsKBK3Oki40fMmTWuxawx8Crccy96OFk1jPKysQ2BqNkMfK0l2d5uiWW9XAqCSYoLVjitha,2gZB6eS1mF6khSRshN1AkAg2pWGvH6GrmafdAdAkK2mxkgT50kMgdW5dZrpdh97oKWTL5rrYXcjRc5TxNVLrJotgIOdTDHbcr8ufPckrP16Yb7uZ5K7GxFvsbPKvBM070GwzZJ3aHZqiPH3rdoJAFRRrP2ZeGyU09N8PDJ6DhmpWl3wdOyznSYf3dDFpK3t07daQkyj,2022-10-12 13:53:03.007333,2023-02-13 20:03:39.735383
72972,2020-01-23,449894.73690792755,dW3jVC,B2YNE5zhGGmDdcwZ8RBoRRt6FXcUFx2nps0fWo1CkbJNAmgt006gIwJqqzWT48dvl3SbgcAytCfoMmkWlrYWbEoU2Q1xrRihV7eXKoLBRhRsXc,tv7BeKRMJ5qMzahMqcthnfNcCLrRDEErYhTPvpV6u6KyWLvQl66FUj9kGkYzZUPxBsxQblNhwhJNLZZ3mUr4MarPUSBiL7nGPKBC2RAZ9LYmhKKbVmuOnuYEr7GLo7zjlw9RaF02lgEJJTlRF2bm4sXDRDWg6VzQr7t1CV31EugcpBZ47DU1g0ByxowvDg57RYSPvAL80NyfkuMM0,2018-12-16 14:57:01.091987,2020-11-18 20:35:48.524179
41258,2021-04-04,292546.6228001614,PDiyg1O,HdMxaVQkZIeX44DcccJnWO8Y7si8BAuOuHLcCQhHSItlxWelhFbVd3jZdZanA8FxtXU3hhBq4kUpdkbhb5rKf9HwAPEb6mxab1VYG6FghTPSgG1Mm5VNC1RhyIGoG05zOXDi0rt3yWu6FKL73Z1fZAqaxUrosnbQ26LiMNvrqibs8,3dMHMWktF7DrNUE6wfo1nmEZNwaFUpc7dpIr7HvhNZfokerSNQ39Ws0QcR3XSBMPudyoDlvneS5mnmAByPgE191pUI4WJ5grVe3S4jxPNAYceR7rX6yaoExDjOIOkNP1E8UBZpiFop9ZYEuwXWLTSAVbCpCL8R7llWninLDYKpOyHayhMDPwSzef7H0EnrSRd3hTyj8geGJGNVB3u7FOeHRzidbxf8ze9npYpMIqG6cmdM40H,2022-02-06 07:25:44.660666,2021-04-15 19:56:27.950104
929477,2019-02-11,472441.123312237,8CrqGLLz,v23HKfGF3GBgEMkRVzoZo62dv6Fsvxm,xcZ30wjrX9SaGt4rxPqZGqLfXv9AgWJjmNihlOie3DK5NBSxsPa768F6HojtbFL24tsAbb7HVfBbvzEt1YZrf2vhhEXFAxNhrTNfRkp4gVFsgsSZeNDYIBOhUocMICCk5IAfLo8GinKCNigKlk4jmjZoxwNFXNUdMyK4GJszPAZdOkXf79nfs7YZCdJTVUPBanEPqmpFSiUIe265V5lgIhc,2022-03-05 07:44:17.479335,2020-03-27 12:47:46.845604
12805,2020-04-26,779423.2589422885,z,n7IiWcVQmh4IwFkmaH7nUjfICCjNC45K,FY66U0xdKkH15DnrzzqF25g6Q0i9shz6x1x7A6OgPlDWQmipeXm9sOJgC7K8Q25ZWwAczq7ZNAwEbCqY1FeVWN9cNf9VWisH8j61DcfJx,2020-10-24 19:51:38.330624,2021-09-28 10:36:43.800536
